"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"6799","NUCB2","ERAP1",71.8376963350785,4,65.7290502793296,1,"other"
"6283","LRPAP1","LDLR",78.8697916666667,2,59.8333333333333,2,"other"
"6267","LRPAP1","LDLR",78.5811518324607,4,59.8333333333333,2,"other"
"5851","ICAM2","ITGB2",10.9285714285714,8,429.940860215054,3,"other"
"3347","GNAS","PTGDR",401.677083333333,2,11.6858638743456,4,"other"
"2781","GNAI2","ADCY7",94.9910313901345,5,49.3938547486034,1,"other"
"7197","PSEN1","NCSTN",41.03125,2,114.291666666667,7,"other"
"2778","GNAI2","ADCY7",94.9910313901345,5,49.3560209424084,4,"other"
"1743","CALR","ITGAV",259.178010471204,4,18.0261780104712,4,"other"
"7924","TNFSF10","TNFRSF10B",135.297619047619,7,34.5201793721973,5,"other"
"7928","TNFSF10","TNFRSF10B",135.297619047619,7,34.5,1,"other"
"1633","CALM3","SELL",37.9270833333333,2,122.797619047619,7,"other"
"8502","ULBP2","KLRK1",6.09139784946237,3,764.405027932961,1,"other"
"6546","LTB","TNFRSF1A",110.66875,6,42.0698924731183,3,"other"
"3479","GSTP1","TRAF2",68.7737430167598,1,67.6369047619048,7,"other"
"7169","PSEN1","NCSTN",73.40625,6,63.2634408602151,3,"other"
"8436","UBA52","TGFBR2",59.83125,6,77.5913978494624,3,"other"
"1724","CALR","ITGAV",398.446428571429,7,11.6458333333333,2,"other"
"6823","NUCB2","ERAP1",70.5558659217877,1,65.7290502793296,1,"other"
"6623","MFNG","NOTCH1",121.095238095238,8,38.2857142857143,7,"other"
"7720","THBS1","ITGA4",13.828125,2,334.52466367713,5,"other"
"5225","HLA-G","KLRC1",38.3507853403141,4,120.533632286996,5,"other"
"5597","ICAM1","ITGAL",27.7443946188341,5,166.561452513966,1,"other"
"6720","MFNG","NOTCH2",100.764397905759,4,45.81875,6,"other"
"2536","FASLG","TNFRSF1A",182.770833333333,2,25.2513966480447,1,"other"
"6490","LTA","TNFRSF1B",19.29375,6,239.010752688172,3,"other"
"5197","HLA-G","KLRC1",57.3333333333333,8,80.4050279329609,1,"other"
"6252","LRPAP1","LDLR",81.875,6,56.2765363128492,1,"other"
"6536","LTB","TNFRSF1A",53.1011904761905,7,86.7443946188341,5,"other"
"6827","OSM","IL6ST",28.0178571428571,8,164.385650224215,5,"other"
"2178","DUSP18","ITGB1",18.7748691099476,4,245.30625,6,"other"
"7276","PSEN1","NOTCH2",83.7678571428571,8,54.9642857142857,8,"other"
"7186","PSEN1","NCSTN",64.1151832460733,4,71.7552083333333,2,"other"
